pais,id_accidente,fecha,municipio,provincia,linea,operador,suceso_codigo,suceso_desc,causa_codigo,causa_desc,fallecidos,heridos_graves,heridos_leves,hora,pk,resumen,titulo_informe,informe_publico_url,organismo_investigador,num_paginas,fuente_datos,latitud,longitud,estado_investigacion,fecha_procesamiento
ES,ES-2008-060508-181208-CIAF,2008-05-06,Fabara,,,Re,1.5.1.2,Arrollamiento en estación,1.1.6,Factor humano - Mantenimiento,0,0,0,19:20,,nº 0012/2008 ocurrido el 06.05.2008 SECRETARIA DE ESTADO,IF-060508-181208-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-060508-181208-CIAF.pdf,CIAF,11,ERA,,,Completado,2026-07-06T13:13:36.278645
ES,ES-2008-440117,2008-11-08,Tudela de Navarra,,Casetas-Intermodal,Renfe,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,14:51,77+050,nº 0059/2008 ocurrido el 08.11.2008 SECRETARIA DE ESTADO,IF-081108-240209-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-081108-240209-CIAF.pdf,CIAF,9,ERA,,,Completado,2026-07-06T13:13:36.330823
ES,ES-2008-090508-300908-CIAF,2008-05-09,,"del municipio la 
necesidad de dotar al paso",Madrid-Barcelona,pública,1.1.1,Colisión frontal,2.3.3,Usuario paso a nivel,0,0,0,22:40,214+220,nº 0013/2008 ocurrido el 09.05.2008 SECRETARIA DE ESTADO,IF-090508-300908-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-090508-300908-CIAF.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:36.391233
ES,ES-2008-470041,2008-11-09,,,Manzanares-Ciudad,Renfe,1.4.1.1,Accidente PN - Vehículo,2.3.3,Usuario paso a nivel,0,0,0,09:52,226+669,nº 0060/2008 ocurrido el 09.11.2008 SECRETARIA DE ESTADO,IF-091108-240209-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-091108-240209-CIAF.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:36.448751
ES,ES-2008-57361,2008-01-10,"Alcolea 
de Córdoba",Alcolea de Córdoba,Alcázar de San Juan-Cádiz,Renfe,1.4.1.1,Accidente PN - Vehículo,2.4,Sin identificar,0,0,0,15:26,429+825,nº 0001/2008 ocurrido el 10.01.2008 SECRETARIA DE ESTADO,IF-100108-300908-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-100108-300908-CIAF.pdf,CIAF,11,ERA,,,Completado,2026-07-06T13:13:36.514335
ES,ES-2008-100908-200109-CIAF,2008-09-10,Villarreal,,Valencia-San,Comsa,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,15:14,62+095,nº 0041/2008 ocurrido el 10.09.2008 SECRETARIA DE ESTADO,IF-100908-200109-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-100908-200109-CIAF.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:36.574326
ES,ES-2008-101108-240209-CIAF_E,2008-11-10,Mon,,Vigo,Renfe,1.4.1.1,Accidente PN - Vehículo,2.4,Sin identificar,0,0,0,09:30,2+455,nº 0061/2008 ocurrido el 10.11.2008 SECRETARIA DE ESTADO,IF-101108-240209-CIAF_ES-607.pdf,https://www.era.europa.eu/system/files/2023-07/IF-101108-240209-CIAF_ES-607.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:36.633454
ES,ES-2008-4918,2008-11-10,Laviana,,,Feve,1.1,Colisión,2.4,Sin identificar,3,0,0,15:05,40+996,nº 0062/2008 ocurrido el 10.11.2008 SECRETARIA DE ESTADO,IF-101108-310309-CIAF_ES-651.pdf,https://www.era.europa.eu/system/files/2023-07/IF-101108-310309-CIAF_ES-651.pdf,CIAF,12,ERA,,,Completado,2026-07-06T13:13:36.721833
ES,ES-2008-110508-281108-CIAF,2008-05-11,Nord,,Madrid-Chamartín,Renfe,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,17:53,202+400,nº 0039/2008 ocurrido el 11.05.2008 SECRETARIA DE ESTADO,IF-110508-281108-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-110508-281108-CIAF.pdf,CIAF,9,ERA,,,Completado,2026-07-06T13:13:36.772048
ES,ES-2008-25173,2008-09-12,"Martorell 
en el P",,,Renfe,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,19:49,73+130,nº 0042/2008 ocurrido el 12.09.2008 SECRETARIA DE ESTADO,IF-120908-200109-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-120908-200109-CIAF.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:36.832345
ES,ES-2008-2,2008-01-01,Pravia,Pravia,Ferrol-Gijón,Feve,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,13:15,0+287,"De acuerdo al R.D. 810/2007 del 22 de junio, en su Título III,",IF-121008-240209-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-121008-240209-CIAF.pdf,CIAF,12,ERA,,,Completado,2026-07-06T13:13:36.975678
ES,ES-2008-130508-281008-CIAF_E,2008-05-13,de Tolosa,,"Madrid Hendaya 
situado entre el",Renfe,1.5.1.2,Arrollamiento en estación,1.1.6,Factor humano - Mantenimiento,0,0,0,12:07,594+380,nº 0014/2008 ocurrido el 13.05.2008 SECRETARIA DE ESTADO,IF-130508-281008-CIAF_ES-547.pdf,https://www.era.europa.eu/system/files/2023-07/IF-130508-281008-CIAF_ES-547.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:37.040711
ES,ES-2008-401,2008-05-13,,,Madrid,Renfe,1.5.1.1,Arrollamiento en plena vía,2.4,Sin identificar,0,0,0,16:35,615+100,nº 0015/2008 ocurrido el 13.05.2008 SECRETARIA DE ESTADO,IF-130508-300908-CIAF_ES-548.pdf,https://www.era.europa.eu/system/files/2023-07/IF-130508-300908-CIAF_ES-548.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:37.098321
ES,ES-2008-3,2008-10-13,La Encina,,Madrid,Renfe,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,12:19,375+740,nº 0049/2008 ocurrido el 13.10.2008 SECRETARIA DE ESTADO,IF-131008-240209-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-131008-240209-CIAF.pdf,CIAF,9,ERA,,,Completado,2026-07-06T13:13:37.151501
ES,ES-2008-93161,2008-12-13,Vitoria,,,Renfe,1.7.7,Otros,2.4,Sin identificar,3,0,0,09:45,494+315,nº 0072/2008 ocurrido el 13.12.2008 SECRETARIA DE ESTADO,IF-131208-210409-CIAF_ES-672.pdf,https://www.era.europa.eu/system/files/2023-07/IF-131208-210409-CIAF_ES-672.pdf,CIAF,11,ERA,,,Completado,2026-07-06T13:13:37.218356
ES,ES-2008-131208-310309-CIAF_E,2008-12-13,"CALELLA 
 
 
 
 
 
 
 
 
 
 De acuerdo con el R",,,Renfe,1.4,Accidente en paso a nivel,2.4,Sin identificar,3,0,0,07:41,48+524,nº 0071/2008 ocurrido el 13.12.2008 SECRETARIA DE ESTADO,IF-131208-310309-CIAF_ES-671.pdf,https://www.era.europa.eu/system/files/2023-07/IF-131208-310309-CIAF_ES-671.pdf,CIAF,12,ERA,,,Completado,2026-07-06T13:13:37.319175
ES,ES-2008-140508-220708-CIAF,2008-05-14,Dehesas,,La Coruña-León,Iberovías,1.4.1.1,Accidente PN - Vehículo,2.4,Sin identificar,0,0,0,10:44,263+500,nº 016/2008 ocurrido el 14.05.2008 SECRETARIA DE ESTADO,IF-140508-220708-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-140508-220708-CIAF.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:37.379458
ES,ES-2008-141008-210409-CIAF,2008-10-14,"LEGANÉS 
 
 
 
 
 
 
 
 
 
 
 
 De acuerdo con el R",,,Renfe,1.7.7,Otros,2.4,Sin identificar,3,0,0,14:46,13+171,nº 0070/2008 ocurrido el 14.10.2008 SECRETARIA DE ESTADO,IF-141008-210409-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-141008-210409-CIAF.pdf,CIAF,13,ERA,,,Completado,2026-07-06T13:13:37.449835
ES,ES-2008-151008-240209-CIAF,2008-10-15,,,Venta de Baños,Renfe,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,07:31,134+396,nº 0050/2008 ocurrido el 15.10.2008 SECRETARIA DE ESTADO,IF-151008-240209-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-151008-240209-CIAF.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:37.507703
ES,ES-2008-28934,2008-04-16,en el P,,Barcelona,Renfe,1.4.1.1,Accidente PN - Vehículo,2.4,Sin identificar,0,0,0,14:48,88+906,nº 0009/2008 ocurrido el 16.04.2008 SECRETARIA DE ESTADO,IF-160408-300908-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-160408-300908-CIAF.pdf,CIAF,11,ERA,,,Completado,2026-07-06T13:13:37.574441
ES,ES-2008-160708-281108-CIAF,2008-07-16,Nord,,"Madrid 
Chamartín",Renfe,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,12:17,108+898,nº 0030/2008 ocurrido el 16.07.2008 SECRETARIA DE ESTADO,IF-160708-281108-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-160708-281108-CIAF.pdf,CIAF,9,ERA,,,Completado,2026-07-06T13:13:37.627567
ES,ES-2008-181008-240209-CIAF,2008-10-18,Figueres,,Barcelona-Portbou,Renfe,1.4,Accidente en paso a nivel,2.4,Sin identificar,0,0,0,08:06,247+215,nº 0051/2008 ocurrido el 18.10.2008 SECRETARIA DE ESTADO,IF-181008-240209-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-181008-240209-CIAF.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:37.689050
ES,ES-2008-201008-240209-CIAF,2008-10-20,Santa María de Huerta,,"Madrid Chamartín-
Barcelona",Renfe,1.4.1.1,Accidente PN - Vehículo,2.4,Sin identificar,0,0,0,12:36,191+876,nº 0052/2008 ocurrido el 20.10.2008 SECRETARIA DE ESTADO,IF-201008-240209-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-201008-240209-CIAF.pdf,CIAF,9,ERA,,,Completado,2026-07-06T13:13:37.743163
ES,ES-2008-80454,2008-12-20,"SALOU 
 
 
 
 
 
 
 De acuerdo con el R",,,Renfe,1.4,Accidente en paso a nivel,2.4,Sin identificar,3,0,0,05:21,,nº 0074/2008 ocurrido el 20.12.2008 SECRETARIA DE ESTADO,IF-201208-210409-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-201208-210409-CIAF.pdf,CIAF,14,ERA,,,Completado,2026-07-06T13:13:37.826594
ES,ES-2008-25683,2008-03-21,"Badalona 
inspecciona el frontal del automotor sin observar ninguna anomalía",,Barcelona-Massanes,Renfe,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,14:53,3+286,nº 0006/2008 ocurrido el 21.03.2008 SECRETARIA DE ESTADO,IF-210308-220708-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-210308-220708-CIAF.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:37.894622
ES,ES-2008-58665,2008-04-22,Zorrotza,,Intermodal Abando Indalecio Prie to-Santurtzi,Renfe,1.7.7,Otros,2.4,Sin identificar,0,0,0,14:03,5+348,nº 0010/2008 ocurrido el 22.04.2008 SECRETARIA DE ESTADO,IF-220408-220708-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-220408-220708-CIAF.pdf,CIAF,9,ERA,,,Completado,2026-07-06T13:13:37.944726
